0 | 39 | 8
0 | 43 | 8
5 | 208 | 89
0 | 38 | 5
5 | 166 | 91
0 | 48 | 7
5 | 201 | 104
0 | 44 | 3
5 | 208 | 94
0 | 49 | 6
5 | 189 | 106
0 | 47 | 5
5 | 207 | 87
0 | 35 | 7
5 | 226 | 61
0 | 32 | 5
5 | 190 | 98
0 | 40 | 9
5 | 210 | 102
0 | 37 | 11
5 | 195 | 98
0 | 44 | 8
5 | 224 | 99
0 | 36 | 10
5 | 190 | 94
0 | 34 | 6
5 | 189 | 101
0 | 43 | 6
5 | 220 | 89
0 | 48 | 6
5 | 207 | 91
0 | 39 | 7
5 | 199 | 103
0 | 46 | 8
5 | 208 | 96
0 | 46 | 9
5 | 209 | 98
0 | 48 | 7
5 | 212 | 98
0 | 37 | 10
5 | 177 | 108
0 | 40 | 9
5 | 208 | 91
0 | 49 | 11
5 | 211 | 92
0 | 38 | 12
5 | 232 | 71
0 | 38 | 9
5 | 178 | 107
0 | 45 | 8
5 | 216 | 96
0 | 37 | 6
5 | 200 | 98
0 | 42 | 6
5 | 197 | 105
0 | 27 | 4
5 | 205 | 65
0 | 42 | 9
5 | 218 | 81
0 | 42 | 7
5 | 218 | 95
